ball_name,picture_name,gen,Catch_rate_modifier,Additional_effect,description
Friend Ball,pokeballs/friendball.png,2,1x,Sets caught Pokemon's friendship to 200.,"The Friend Ball is a type of Poke Ball introduced in Generation II.
It can be used to catch a wild Pokemon. Pokemon caught in a Friend Ball become more friendly.

It is one of Kurt's signature Apricorn Poke Balls, and is made from Green Apricorns."
Moon Ball,pokeballs/moonball.png,2,"4x if used on a Pokemon that belongs to an evolutionary family which includes a
Pokemon that evolves by using a Moon Stone otherwise 1x",,"The Moon Ball is a type of Poke Ball introduced in Generation II.
It can be used to catch a wild Pokemon, being more likely to succeed against Pokemon
that evolve by using Moon Stone and their evolutionary relatives.

It is one of Kurt's signature Apricorn Poke Balls, and is made from Yellow Apricorns."
Sport Ball,pokeballs/sportball.png,2,1.5x,"Prior to Generation VIII, it could not be obtained in normal gameplay,
and was only usable during the Bug-Catching Contest.","The Sport Ball, called the Park Ball in Generation II,
is a type of Poke Ball introduced in Generation II.
It can be used to catch wild Pokemon during a Bug-Catching Contest at National Park.

This Poke Ball's name was changed due to the introduction of a different Poke Ball
called a Park Ball in Generation IV."
Net Ball,pokeballs/netball.png,3,3.5x if used on a Water- or Bug-type Pokemon otherwise 1x,,"The Net Ball is a type of Poke Ball introduced in Generation III.
It can be used to catch a wild Pokemon,
being more likely to succeed against a Water- and Bug-type Pokemon.

Net Balls were first developed in Mossdeep City."
Nest Ball,pokeballs/nestball.png,3,((41 - Pokemon's level) / 10)x if Pokemon's level is between 1 and 29 otherwise 1x,,"The Nest Ball is a type of Poke Ball introduced in Generation III.
It can be used to catch a wild Pokemon,
being more likely to succeed against lower level Pokemon."
Repeat Ball,pokeballs/repeatball.png,3,3.5x if used on a Pokemon that is registered in the player's Pokedex as caught otherwise 1x,,"The Repeat Ball is a type of Poke Ball introduced in Generation III.
It can be used to catch a wild Pokemon, being more likely to succeed if the Pokemon
is already registered as caught in the Trainer's Pokedex. It was developed by the Devon Corporation."
Timer Ball,pokeballs/timerball.png,3,"(1 + number of turns passed in battle * 1229/4096)x, maximum 4x at 10 turns",,"The Timer Ball is a type of Poke Ball introduced in Generation III. It can be used to catch
a wild Pokemon, being more likely to succeed the longer it has been since the start of the battle.
It was developed by the Devon Corporation."
Luxury Ball,pokeballs/luxuryball.png,3,1x,Doubles the rate in which the contained Pokemon receives friendship,"The Luxury Ball is a type of Poke Ball introduced in Generation III.
It can be used to catch a wild Pokemon.
Pokemon caught in a Luxury Ball gain friendship more quickly."
Premier Ball,pokeballs/premierball.png,3,1x,,"The Premier Ball is a type of Poke Ball introduced in Generation III.
It can be used to catch a wild Pokemon. It was developed by the Devon Corporation."
Dive Ball,pokeballs/diveball.png,3,3.5x if used on a water-dwelling Pokemon otherwise 1x,,"The Dive Ball is a type of Poke Ball introduced in Generation III.
It can be used to catch a wild Pokemon,
being more likely to succeed in water encounters, originally specifically underwater encounters.

Dive Balls were first developed in Mossdeep City."
Dusk Ball,pokeballs/duskball.png,4,3x if used in a cave or at night otherwise 1x,,"The Dusk Ball is a type of Poke Ball introduced in Generation IV.
It can be used to catch a wild Pokemon,
being more likely to succeed if used at night or in a cave."
Heal Ball,pokeballs/healball.png,4,1x,"Fully restores a caught Pokemon's HP, PP, and status.","The Heal Ball is a type of Poke Ball introduced in Generation IV.
It can be used to catch a wild Pokemon.
A Pokemon caught in a Heal Ball is fully healed."
Quick Ball,pokeballs/quickball.png,4,5x if used on the first turn of a battle otherwise 1x,,"The Quick Ball is a type of Poke Ball introduced in Generation IV.
It can be used to catch a wild Pokemon,
being more likely to succeed if used at the start of the encounter."
Cherish Ball,pokeballs/cherishball.png,4,1x,"Unobtainable by the player, used for various event Pokemon","The Cherish Ball is a type of Poke Ball introduced in Generation IV.
Event Pokemon are often contained in a Cherish Ball."
Park Ball,pokeballs/parkball.png,4,255x,Used only in Pal Park.,"The Park Ball is a type of Poke Ball introduced in Generation IV.
It can be used to re-catch Pokemon migrated to Pal Park."
Dream Ball,pokeballs/dreamball.png,5,4x if used on a sleeping Pokemon otherwise 1x,"Used only in Entree Forest prior to Generation VIII.
Catch rate modifier 255x in Generation V.","The Dream Ball  is a type of Poke Ball introduced in Generation V.
It can be used to catch a wild Pokemon in the Entree Forest. Starting from Generation VIII,
it is more likely to succeed when used on a sleeping Pokemon."
Beast Ball,pokeballs/beastball.png,7,5x if used on an Ultra Beast otherwise 0.1x,,"The Beast Ball is a type of Poke Ball introduced in Generation VII.
It can be used to catch a wild Pokemon, being more likely to succeed against
Ultra Beasts and less likely against other Pokemon."
